T04n0192_p0001a01_##<mj>
T04n0192_p0001a02N##No. 192
T04n0192_p0001a03J##[01]佛所行讚卷第一[02](亦云佛本行經)
T04n0192_p0001a04_##
T04n0192_p0001a05A##[03]馬鳴菩薩[04]造
T04n0192_p0001a06Y##北涼天竺三藏曇無讖譯
T04n0192_p0001a07D##[05]生品第一
T04n0192_p0001a08S##　甘蔗之苗裔，　　釋迦無勝王，
T04n0192_p0001b05S##　觀察極明耀，　　而不害眼根。
T04n0192_p0001b06S##　縱視而不耀，　　如觀空中月，
T04n0192_p0001b07S##　自身光照耀，　　如日奪燈明，
T04n0192_p0001b08S##　菩薩真金身，　　普照亦如是。
T04n0192_p0001b09S##　正[22]真心不亂，　　[23]安庠行七步，
T04n0192_p0001b10S##　足下安平趾，　　炳徹猶七星。
T04n0192_p0001b11S##　獸王師子步，　　觀察於四方，
T04n0192_p0001b12S##　通達真實義，　　堪能如是說。
T04n0192_p0001b13S##　此生為佛生，　　則為後邊生，
T04n0192_p0001b14S##　我唯此一生，　　當度於一切。
T04n0192_p0001b15S##　應時虛空中，　　淨水雙流下，
T04n0192_p0001b16S##　一溫一清涼，　　灌頂令身樂。
T04n0192_p0001b17S##　安處寶宮殿，　　臥於琉璃床，
T04n0192_p0001b18S##　天王金華手，　　[24]奉持床四足。
T04n0192_p0001b19S##　諸天於空中，　　執持寶蓋侍，
T04n0192_p0001b20S##　承威神讚歎，　　勸發成佛道。
T04n0192_p0001b21S##　諸龍王歡喜，　　渴仰殊勝法，
T04n0192_p0001b22S##　曾奉過去佛，　　今得值菩薩。
T04n0192_p0001b23S##　散[25]曼陀羅花，　　專心樂供養，
T04n0192_p0001b24S##　如來出興世，　　[26]淨居天歡喜。
T04n0192_p0001b25S##　已除愛欲歡，　　為法而欣悅，
T04n0192_p0001b26S##　眾生沒苦海，　　令得解脫故。
T04n0192_p0001b27S##　須彌寶山王，　　堅持此大地，
T04n0192_p0001b28S##　菩薩出興世，　　功德風所飄，
T04n0192_p0001b29S##　普皆大震動，　　如風鼓浪舟。
T04n0192_p0001c01S##　[27]栴檀細末香，　　眾寶蓮花藏，
T04n0192_p0001c02S##　風吹隨空流，　　繽紛而亂墜，
T04n0192_p0001c03S##　天衣從空下，　　觸身生妙樂。
T04n0192_p0001c04S##　日月如常度，　　光耀倍增明，
T04n0192_p0001c05S##　世界諸火光，　　無薪自炎熾，
T04n0192_p0001c06S##　淨水清涼井，　　前後自然生。
T04n0192_p0001c07S##　中宮婇女眾，　　怪歎未曾有，
T04n0192_p0001c08S##　競赴而飲浴，　　皆起安樂想。
T04n0192_p0001c09S##　[28]無量部多天，　　樂法悉雲集，
T04n0192_p0001c10S##　於藍毘尼園，　　遍滿林樹間。
T04n0192_p0001c11S##　奇特眾妙花，　　非時而敷榮，
T04n0192_p0001c12S##　[29]凶暴眾生類，　　一時生慈心，
T04n0192_p0001c13S##　世間諸疾病，　　不療自然除。
T04n0192_p0001c14S##　亂鳴諸禽獸，　　[30]恬默寂無聲，
T04n0192_p0001c15S##　萬川皆停流，　　濁水悉澄清，
T04n0192_p0001c16S##　空中無雲翳，　　天鼓自然鳴。
T04n0192_p0001c17S##　一切諸世間，　　悉得安隱樂，
T04n0192_p0001c18S##　猶如荒難國，　　忽得賢明主。
T04n0192_p0001c19S##　菩薩所以生，　　為濟世眾苦，
T04n0192_p0001c20S##　唯彼[31]魔天王，　　[32]震動大憂惱。
T04n0192_p0001c21S##　父王見生子，　　奇特未曾有，
T04n0192_p0001c22S##　素性雖安重，　　驚駭改常容，
T04n0192_p0001c23S##　[33]二息交胸起，　　一喜復一懼。
T04n0192_p0001c24S##　夫人見其子，　　不由常道生，
T04n0192_p0001c25S##　女人性怯弱，　　[[怡-台+求]>怵]惕懷[洗-冼+水]炭，
T04n0192_p0001c26S##　不別吉凶相，　　反更生憂怖。
T04n0192_p0001c27S##　長宿諸母人，　　互亂祈神明，
T04n0192_p0001c28S##　各請常所事，　　願令太子安。
T04n0192_p0001c29S##　時彼林中有，　　知相婆羅門，
T04n0192_p0002a01S##　威儀具多聞，　　才辯高名稱，
T04n0192_p0002a02S##　見相心歡喜，　　踊躍未曾有。
T04n0192_p0002a03S##　知王心驚怖，　　白王以真實：
T04n0192_p0002a04S##「人生於世間，　　唯求殊勝子。
T04n0192_p0002a05S##　王今如滿月，　　應生大歡喜，
T04n0192_p0002a06S##　今生奇特子，　　必光顯宗族。
T04n0192_p0002a07S##　安心自欣慶，　　莫生餘疑慮，
T04n0192_p0002a08S##　靈祥集家國，　　從今轉[01]休盛。
T04n0192_p0002a09S##　所生殊勝子，　　必為世間救，
T04n0192_p0002a10S##　惟此上士身，　　金色妙光明，
T04n0192_p0002a11S##　如是殊勝相，　　必成等正覺；
T04n0192_p0002a12S##　若[02]習樂世間，　　必作轉輪王，
T04n0192_p0002a13S##　普為大地主，　　勇猛正法治，
T04n0192_p0002a14S##　王領四天下，　　統御一切王。
T04n0192_p0002a15S##　猶如世光明，　　日光為最勝，
T04n0192_p0002a16S##　若處於山林，　　專心求解脫。
T04n0192_p0002a17S##　成就實智慧，　　普照於世間，
T04n0192_p0002a18S##　譬[03]如須彌山，　　[04]普為諸山王。
T04n0192_p0002a19S##　眾寶金為最，　　眾流海為最，
T04n0192_p0002a20S##　諸[05]宿月為最，　　諸明日為最，
T04n0192_p0002a21S##　如來處世間，　　兩足中為[06]最。
T04n0192_p0002a22S##　淨目脩且廣，　　上下瞬長睫，
T04n0192_p0002a23S##　瞪矚紺青色，　　[07]明煥半月形，
T04n0192_p0002a24S##　此相云何非，　　平等殊勝[08]目？」
T04n0192_p0002a25S##　時王告二生：　　「若如汝所說，
T04n0192_p0002a26S##　如此奇特相，　　以[09]何因緣故，
T04n0192_p0002a27S##　不應於先王，　　乃現於我世？」
T04n0192_p0002a28S##　婆羅門白王：　　「不應如是說。
T04n0192_p0002a29S##　多聞與智慧，　　名稱及事業，
T04n0192_p0002b01S##　如是四事者，　　不應顧先後。
T04n0192_p0002b02S##　物性之所生，　　各從因緣起，
T04n0192_p0002b03S##　今當說諸譬，　　王今且諦聽。
T04n0192_p0002b04S##　[10]毘求[11]央耆羅，　　此二仙人族，
T04n0192_p0002b05S##　經歷久遠世，　　各生殊[12]異子。
T04n0192_p0002b06S##　[13]毘利訶[金*本]低，　　及與儵迦羅，
T04n0192_p0002b07S##　能造[14]帝王論，　　不從先族來。
T04n0192_p0002b08S##　[15]薩羅薩仙人，　　經論久斷絕，
T04n0192_p0002b09S##　而生婆羅[16]婆，　　續復明經論。
T04n0192_p0002b10S##　現在知見生，　　不必由先[17]胄，
T04n0192_p0002b11S##　毘耶[18]娑仙人，　　多造諸經論，
T04n0192_p0002b12S##　末後胤跋彌，　　廣集偈章句。
T04n0192_p0002b13S##　[19]阿低利仙人，　　不解醫方論，
T04n0192_p0002b14S##　後生[20]阿低離，　　善能治百病。
T04n0192_p0002b15S##　二生[21]駒尸仙，　　不閑外道論，
T04n0192_p0002b16S##　後伽提那王，　　悉解外道法。
T04n0192_p0002b17S##　甘蔗王始族，　　不能制海潮，
T04n0192_p0002b18S##　至[22]娑伽羅王，　　生育千王子，
T04n0192_p0002b19S##　能制大海潮，　　使不越常限。
T04n0192_p0002b20S##　[23]闍那駒仙人，　　無師得禪道。
T04n0192_p0002b21S##　凡得名稱者，　　皆生於自力，
T04n0192_p0002b22S##　或先勝後劣，　　或先劣後勝。
T04n0192_p0002b23S##　帝王諸神仙，　　不必承本族，
T04n0192_p0002b24S##　是故諸世間，　　不應顧先後。
T04n0192_p0002b25S##　大王今如是，　　應生歡喜心，
T04n0192_p0002b26S##　以心歡喜故，　　永離於疑惑。」
T04n0192_p0002b27S##　王聞仙人說，　　歡喜增供養。
T04n0192_p0002b28S##「我今生勝子，　　當紹轉輪位，
T04n0192_p0002b29S##　我年已朽邁，　　出家修梵行，
T04n0192_p0002c01S##　無令聖王子，　　捨世遊山林。」
T04n0192_p0002c02S##　時近處園中，　　有苦行仙人，
T04n0192_p0002c03S##　名曰[24]阿私陀，　　善解於相法，
T04n0192_p0002c04S##　來詣王宮門，　　王謂梵天應。
T04n0192_p0002c05S##　苦行樂正法，　　此二相俱現，
T04n0192_p0002c06S##　梵行相具足，　　時王大歡喜。
T04n0192_p0002c07S##　即請入宮內，　　恭敬設供養，
T04n0192_p0002c08S##　將入內宮中，　　唯樂見王子。
T04n0192_p0002c09S##　雖有婇女眾，　　如在空閑林，
T04n0192_p0002c10S##　安處正法座，　　加敬尊奉事，
T04n0192_p0002c11S##　如[25]安低牒王，　　奉事[26]波尸吒。
T04n0192_p0002c12S##　時王白仙人：　　「我今得大利。
T04n0192_p0002c13S##　勞屈大仙人，　　辱來攝受我，
T04n0192_p0002c14S##　諸有所應為，　　唯願[27]時教[束*力]。」
T04n0192_p0002c15S##　如是勸請已，　　仙人大歡喜：
T04n0192_p0002c16S##「善哉常勝王，　　眾德悉皆備。
T04n0192_p0002c17S##　愛樂來求者，　　惠施崇正法，
T04n0192_p0002c18S##　仁智殊勝族，　　謙恭善隨順。
T04n0192_p0002c19S##　宿[28]殖眾妙因，　　勝果[29]現於今，
T04n0192_p0002c20S##　汝當聽我說，　　今者[30]來因緣。
T04n0192_p0002c21S##　我從日道來，　　聞空中天說，
T04n0192_p0002c22S##　言王生太子，　　當成正覺道。
T04n0192_p0002c23S##　并見先瑞相，　　今故來到此，
T04n0192_p0002c24S##　欲觀釋迦王，　　建立正法幢。」
T04n0192_p0002c25S##　王聞仙人說，　　決定離疑網，
T04n0192_p0002c26S##　命持太子出，　　以示於仙人。
T04n0192_p0002c27S##　仙人觀太子，　　足下千輻輪，
T04n0192_p0002c28S##　手足網縵指，　　眉間白毫[31]跱，
T04n0192_p0002c29S##　馬藏隱密相，　　容色炎光明，
T04n0192_p0003a01S##　見生未曾[01]想，　　流淚長歎息。
T04n0192_p0003a02S##　王見仙人泣，　　念子心戰慄，
T04n0192_p0003a03S##　氣結盈心胸，　　驚悸不自安。
T04n0192_p0003a04S##　不覺從[02]坐起，　　稽首仙人足，
T04n0192_p0003a05S##　而白仙人言：　　「此子生奇特，
T04n0192_p0003a06S##　容貌極端嚴，　　天人殆不異，
T04n0192_p0003a07S##　[03]汝言人中上，　　何故生憂悲？
T04n0192_p0003a08S##　將非短壽子，　　生我憂悲乎？
T04n0192_p0003a09S##　久渴得甘露，　　[04]而反復失耶？
T04n0192_p0003a10S##　將非失財寶，　　喪家亡國[05]乎？
T04n0192_p0003a11S##　若有勝子存，　　國嗣有所寄，
T04n0192_p0003a12S##　我死時心悅，　　安樂生他世，
T04n0192_p0003a13S##　猶如人兩目，　　一眠而一覺。
T04n0192_p0003a14S##　莫如秋霜花，　　雖敷而無實，
T04n0192_p0003a15S##　人於親族中，　　愛深無過子。
T04n0192_p0003a16S##　宜時為記說，　　令我得蘇息。」
T04n0192_p0003a17S##　仙人知父王，　　心懷大憂懼，
T04n0192_p0003a18S##　即告言大王：　　「王今勿恐怖，
T04n0192_p0003a19S##　前已語大王，　　慎勿自生疑，
T04n0192_p0003a20S##　今相猶如前，　　不應懷異想；
T04n0192_p0003a21S##　自惟我年暮，　　[06]悲慨泣歎耳。
T04n0192_p0003a22S##　今我臨終時，　　此子應世[07]生，
T04n0192_p0003a23S##　為盡生故生，　　斯人難得遇。
T04n0192_p0003a24S##　當捨聖王位，　　不著五欲境，
T04n0192_p0003a25S##　精勤修苦行，　　開覺得真實。
T04n0192_p0003a26S##　常為諸群生，　　滅除癡冥障，
T04n0192_p0003a27S##　於世永熾燃，　　智慧日光明。
T04n0192_p0003a28S##　眾生沒苦海，　　眾病為聚沫，
T04n0192_p0003a29S##　衰老為巨浪，　　死為海洪濤。
T04n0192_p0003b01S##　乘輕智慧舟，　　[08]渡此眾流難，
T04n0192_p0003b02S##　智慧泝流水，　　淨戒為傍岸。
T04n0192_p0003b03S##　三昧清涼池，　　正受眾奇鳥，
T04n0192_p0003b04S##　如此甚深廣，　　正法之大河。
T04n0192_p0003b05S##　渴愛諸群生，　　飲之以蘇息，
T04n0192_p0003b06S##　[09]染著五欲境，　　眾苦所驅迫，
T04n0192_p0003b07S##　迷生死曠野，　　莫知所歸趣；
T04n0192_p0003b08S##　菩薩出世間，　　為通解脫道。
T04n0192_p0003b09S##　世間貪欲火，　　境界薪熾然；
T04n0192_p0003b10S##　興發大悲雲，　　法雨雨令滅。
T04n0192_p0003b11S##　癡闇門重[10]扇，　　貪欲為關鑰，
T04n0192_p0003b12S##　閉塞諸群生，　　出要解脫門；
T04n0192_p0003b13S##　金剛智慧鑷，　　拔恩愛逆[11]鑽。
T04n0192_p0003b14S##　愚癡網自纏，　　窮苦無所依；
T04n0192_p0003b15S##　法王出世間，　　能解眾生縛。
T04n0192_p0003b16S##　王莫以此子，　　自生憂悲患，
T04n0192_p0003b17S##　當憂彼眾生，　　著欲違正法。
T04n0192_p0003b18S##　我今老死壞，　　遠離聖功德，
T04n0192_p0003b19S##　雖得諸禪定，　　而不獲其利。
T04n0192_p0003b20S##　於此菩薩所，　　竟不聞正法，
T04n0192_p0003b21S##　身壞命終後，　　必生三難天。」
T04n0192_p0003b22S##　王及諸眷屬，　　聞彼仙人說，
T04n0192_p0003b23S##　知其自憂歎，　　恐怖悉[12]以除。
T04n0192_p0003b24S##「生此奇特子，　　我心得大安。
T04n0192_p0003b25S##　出家捨世榮，　　修習仙人道，
T04n0192_p0003b26S##　[13]遂不紹國位，　　復令我不悅。」
T04n0192_p0003b27S##　爾時彼仙人，　　向王真實說：
T04n0192_p0003b28S##「必如王所慮，　　當成正覺道。」
T04n0192_p0003b29S##　於王眷屬中，　　安慰眾心已，
T04n0192_p0003c01S##　自以己神力，　　騰[14]虛而遠逝。
T04n0192_p0003c02S##　爾時白淨王，　　見子奇特相，
T04n0192_p0003c03S##　又聞阿私陀，　　決定真實說。
T04n0192_p0003c04S##　於子心敬重，　　[15]珍護兼常念，
T04n0192_p0003c05S##　大赦於天下，　　牢獄悉解脫。
T04n0192_p0003c06S##　世人生子法，　　隨宜取捨事，
T04n0192_p0003c07S##　依諸經方論，　　一切悉皆為。
T04n0192_p0003c08S##　生子滿十日，　　安隱心已泰，
T04n0192_p0003c09S##　普祠諸天神，　　廣施於有道。
T04n0192_p0003c10S##　沙門婆羅門，　　[口*兄]願祈[16]吉福，
T04n0192_p0003c11S##　[17]嚫施諸群臣，　　及國中貧乏。
T04n0192_p0003c12S##　村城婇女眾，　　牛馬象[18]財錢，
T04n0192_p0003c13S##　各隨彼所須，　　一切皆給與。
T04n0192_p0003c14S##　卜擇選良時，　　遷子還本宮，
T04n0192_p0003c15S##　二飯白淨牙，　　七寶莊嚴輿。
T04n0192_p0003c16S##　雜色[19]珠絞絡，　　明[20]焰極光澤，
T04n0192_p0003c17S##　夫人抱太子，　　周匝禮天神。
T04n0192_p0003c18S##　然後昇寶輿，　　婇女眾隨侍，
T04n0192_p0003c19S##　王與諸臣民，　　[21]一切俱導從。
T04n0192_p0003c20S##　猶如天帝釋，　　諸天眾圍遶，
T04n0192_p0003c21S##　如摩醯首羅，　　忽生[22]六面子。
T04n0192_p0003c22S##　設種種眾具，　　供給及請福，
T04n0192_p0003c23S##　今王生太子，　　設眾具亦然。
T04n0192_p0003c24S##　毘沙門天王，　　生[23]那羅鳩婆，
T04n0192_p0003c25S##　一切諸天眾，　　皆悉大歡喜。
T04n0192_p0003c26S##　王今生太子，　　[24]迦毘羅衛國，
T04n0192_p0003c27s##　一切諸人民，　　歡喜亦如是。
T04n0192_p0003c28D##[25]佛所行讚處宮品第二
T04n0192_p0003c29S##　時白淨王家，　　以生聖子故，
T04n0192_p0004a01S##　親族名子弟，　　群臣悉忠良。
T04n0192_p0004a02S##　象馬寶車輿，　　國財七寶器，
T04n0192_p0004a03S##　日日轉增勝，　　隨應而集生。
T04n0192_p0004a04S##　無量諸伏藏，　　自然從地出，
T04n0192_p0004a05S##　清淨雪山中，　　兇狂群白象。
T04n0192_p0004a06S##　不呼自然至，　　不御自調伏，
T04n0192_p0004a07S##　種種雜色馬，　　形體極端嚴。
T04n0192_p0004a08S##　朱髦纖長尾，　　超騰駿若飛，
T04n0192_p0004a09S##　[01]又野之所生，　　應時自然至。
T04n0192_p0004a10S##　純色調善牛，　　肥壯形端正，
T04n0192_p0004a11S##　平步淳香乳，　　應時悉雲集。
T04n0192_p0004a12S##　怨憎者心平，　　中平益淳厚，
T04n0192_p0004a13S##　素篤[02]增親密，　　亂逆悉消除。
T04n0192_p0004a14S##　微風隨時雨，　　雷霆不震裂，
T04n0192_p0004a15S##　種[＊]殖不待時，　　收實倍豐[03]積。
T04n0192_p0004a16S##　五穀鮮香美，　　輕軟易消化，
T04n0192_p0004a17S##　諸有懷孕者，　　身安體和適。
T04n0192_p0004a18S##　除受四聖種，　　諸餘世間人，
T04n0192_p0004a19S##　資生各自如，　　無有他求想。
T04n0192_p0004a20S##　無慢無慳嫉，　　亦無恚害心，
T04n0192_p0004a21S##　一切諸士女，　　玄同劫[諸>初]人。
T04n0192_p0004a22S##　天廟諸寺舍，　　園林井泉池，
T04n0192_p0004a23S##　[04]一切如天物，　　應時自然生。
T04n0192_p0004a24S##　[05]合境無飢餓，　　刀兵疾疫息，
T04n0192_p0004a25S##　國中諸人民，　　親族相愛敬。
T04n0192_p0004a26S##　法愛相娛樂，　　不生染污欲，
T04n0192_p0004a27S##　以義求財物，　　無有貪利心。
T04n0192_p0004a28S##　為法行惠施，　　無求反報想，
T04n0192_p0004a29S##　脩習四梵行，　　滅除恚害心。
T04n0192_p0004b01S##　過去[06]摩[少/兔]王，　　生[07]日光太子，
T04n0192_p0004b02S##　舉國蒙吉祥，　　眾惡一時息。
T04n0192_p0004b03S##　今王生太子，　　其德亦復爾，
T04n0192_p0004b04S##　[08]以備眾德義，　　名[09]悉達羅他。
T04n0192_p0004b05S##　時摩耶夫人，　　見其所生子，
T04n0192_p0004b06S##　端正如天童，　　眾美悉備足，
T04n0192_p0004b07S##　過喜不自勝，　　命終生天上。
T04n0192_p0004b08S##　大愛瞿曇彌，　　見太子天童，
T04n0192_p0004b09S##　德貌世奇[10]挺，　　既生母命終，
T04n0192_p0004b10S##　愛育如其子，　　子敬亦如母。
T04n0192_p0004b11S##　猶日月火光，　　從微照漸廣，
T04n0192_p0004b12S##　太子長日新，　　德貌亦復爾。
T04n0192_p0004b13S##　無價栴檀香，　　閻浮檀名寶，
T04n0192_p0004b14S##　護身神仙藥，　　瓔珞莊嚴身。
T04n0192_p0004b15S##　附庸諸[阿-可+(嶙-山)]國，　　聞王生太子，
T04n0192_p0004b16S##　奉獻諸珍異，　　牛羊鹿馬車，
T04n0192_p0004b17S##　寶器莊嚴具，　　助悅太子心。
T04n0192_p0004b18S##　雖有諸嚴飾，　　嬰童玩好物，
T04n0192_p0004b19S##　太子性安重，　　形少而心宿。
T04n0192_p0004b20S##　心栖高勝境，　　不染於榮華，
T04n0192_p0004b21S##　修學諸術藝，　　一聞超師匠。
T04n0192_p0004b22S##　父王見聰達，　　深慮[11]踰世表，
T04n0192_p0004b23S##　廣訪名豪族，　　風教禮義門。
T04n0192_p0004b24S##　容姿端正女，　　名耶輪陀羅，
T04n0192_p0004b25S##　應[嫂>娉]太子妃，　　誘導留其心。
T04n0192_p0004b26S##　太子志高遠，　　德盛貌清明，
T04n0192_p0004b27S##　猶梵天長子，　　[12]舍那鳩摩羅。
T04n0192_p0004b28S##　賢妃美容貌，　　窈窕淑妙姿，
T04n0192_p0004b29S##　[王*褱]艷若天后，　　同處日夜歡。
T04n0192_p0004c01S##　為立清淨宮，　　宏麗極莊嚴，
T04n0192_p0004c02S##　高峙在虛空，　　[13]迢遰若秋雲，
T04n0192_p0004c03S##　溫涼四時適，　　隨時擇善居。
T04n0192_p0004c04S##　[妓>伎]女眾圍遶，　　奏合天樂音，
T04n0192_p0004c05S##　勿[14][阿-可+(嶙-山)]穢聲色，
T04n0192_p0004c06S##　令生厭世想。　　如天[15]犍撻婆，
T04n0192_p0004c07S##　自然寶宮殿，　　樂女奏天音，
T04n0192_p0004c08S##　聲色耀心目；　　菩薩處高宮，
T04n0192_p0004c09S##　音樂亦如是。　　父王為太子，
T04n0192_p0004c10S##　靜居修純德，　　仁慈正法化，
T04n0192_p0004c11S##　親賢遠惡友，　　心不染恩愛，
T04n0192_p0004c12S##　於欲起毒想，　　攝情撿諸根，
T04n0192_p0004c13S##　滅除輕躁意，　　和顏善聽[16]訟，
T04n0192_p0004c14S##　慈教厭眾心。　　宣化諸外道，
T04n0192_p0004c15S##　斷諸謀逆術，　　教學濟世方，
T04n0192_p0004c16S##　萬民得安樂。　　如[17]令我子安，
T04n0192_p0004c17S##　萬民亦如是，　　事火奉諸神，
T04n0192_p0004c18S##　叉手飲[18]月光。　　恒水沐浴身，
T04n0192_p0004c19S##　法水澡其心，　　祈福非存己，
T04n0192_p0004c20S##　唯子及萬民。　　愛[19]言非無義，
T04n0192_p0004c21S##　義言非不愛，　　愛言非不實，
T04n0192_p0004c22S##　實言非不愛。　　以有慚愧故，
T04n0192_p0004c23S##　不能如實說，　　於愛不愛事，
T04n0192_p0004c24S##　不依貪恚想。　　志存於寂默，
T04n0192_p0004c25S##　平[20]正止諍訟，　　不以祠天會，
T04n0192_p0004c26S##　勝於斷事福。　　見[21]彼多求眾，
T04n0192_p0004c27S##　豐施過其望，　　心無戰爭想，
T04n0192_p0004c28S##　以德降怨敵。　　調一而護七，
T04n0192_p0004c29S##　離七防制五，　　得三覺了三，
T04n0192_p0005a01S##　知二捨於二。　　求情得其罪，
T04n0192_p0005a02S##　應死垂仁恕，　　不加麤惡言，
T04n0192_p0005a03S##　軟[01]語而教[束*力]，　　[02]務施以財物，
T04n0192_p0005a04S##　指授資生路，　　受學神仙道，
T04n0192_p0005a05S##　滅除怨恚心，　　名德普流聞，
T04n0192_p0005a06S##　世[03]間永消亡。　　主匠修明德，
T04n0192_p0005a07S##　率土皆承習，　　如人心安靜，
T04n0192_p0005a08s##　四體諸根從。
T04n0192_p0005a09S##　時白淨太子，　　賢妃耶輸陀，
T04n0192_p0005a10S##　年並漸長大，　　孕生[04]羅[目*侯]羅。
T04n0192_p0005a11S##　白淨王自念，　　太子已生子，
T04n0192_p0005a12S##　[05]歷世相繼嗣，　　正化無終極。
T04n0192_p0005a13S##　太子既生子，　　愛子與我同，
T04n0192_p0005a14S##　不復慮出家，　　但當力修善。
T04n0192_p0005a15S##　我今心[06]大安，　　無異生天樂，
T04n0192_p0005a16S##　猶若劫初時，　　仙王所住道。
T04n0192_p0005a17S##　[07]愛行清淨業，　　祠祀不害生，
T04n0192_p0005a18S##　熾然修勝業，　　王勝梵行勝。
T04n0192_p0005a19S##　宗族財寶勝，　　勇健[08]伎藝勝，
T04n0192_p0005a20S##　明顯照世間，　　如日千光耀。
T04n0192_p0005a21S##　所以為[09]王者，　　[10]將為顯其子，
T04n0192_p0005a22S##　顯子為宗族，　　榮族以名聞，
T04n0192_p0005a23S##　名高得生天，　　生天[11]為樂已，
T04n0192_p0005a24S##　已樂智慧增，　　悟道弘正法，
T04n0192_p0005a25S##　先勝[12]名聞所，　　受行眾妙道。
T04n0192_p0005a26S##　唯願令太子，　　愛子不捨家，
T04n0192_p0005a27S##　一切諸國王，　　生子年尚小。
T04n0192_p0005a28S##　不令王國土，　　慮其心放逸，
T04n0192_p0005a29S##　縱情著世樂，　　不能紹王種。
T04n0192_p0005b01S##　今王生太子，　　隨心恣五欲，
T04n0192_p0005b02S##　唯願樂世榮，　　不欲令學道。
T04n0192_p0005b03S##　過去菩薩王，　　其道雖深固，
T04n0192_p0005b04S##　要習世榮樂，　　生子繼宗嗣，
T04n0192_p0005b05s##　然後入山林，　　修行寂默道。
T04n0192_p0005b06D##[13]佛所行讚厭患品第三
T04n0192_p0005b07S##　外有諸園林，　　流泉清涼池，
T04n0192_p0005b08S##　眾雜華果樹，　　行列垂玄蔭。
T04n0192_p0005b09S##　異類諸奇鳥，　　奮飛戲其中，
T04n0192_p0005b10S##　水陸四種花，　　炎色流妙香。
T04n0192_p0005b11S##　[14]伎女因奏樂，　　弦歌告太子，
T04n0192_p0005b12S##　太子聞音樂，　　歎美彼園林。
T04n0192_p0005b13S##　內懷甚踊悅，　　思樂出遊觀，
T04n0192_p0005b14S##　猶如繫狂象，　　常慕閑曠野。
T04n0192_p0005b15S##　父王聞太子，　　樂出彼園遊，
T04n0192_p0005b16S##　即[束*力]諸群臣，　　嚴飾備羽儀。
T04n0192_p0005b17S##　平治[15]正王路，　　并除諸醜穢，
T04n0192_p0005b18S##　老病形殘類，　　羸劣貧窮苦，
T04n0192_p0005b19S##　無令少樂子，　　見起厭惡心。
T04n0192_p0005b20S##　莊嚴悉備已，　　啟請求拜辭，
T04n0192_p0005b21S##　王見太子至，　　摩頭瞻顏色，
T04n0192_p0005b22S##　悲喜情交結，　　口許而心留。
T04n0192_p0005b23S##　眾寶軒飾車，　　結駟駿平流，
T04n0192_p0005b24S##　賢良善術藝，　　年少美姿容，
T04n0192_p0005b25S##　妙淨鮮花服，　　同車為執御。
T04n0192_p0005b26S##　街巷散眾華，　　寶縵蔽路傍，
T04n0192_p0005b27S##　垣樹列道側，　　寶器以莊嚴，
T04n0192_p0005b28S##　繒蓋諸幢幡，　　繽紛隨風[16]揚。
T04n0192_p0005b29S##　觀者[17]挾長路，　　側身目[18]連光，
T04n0192_p0005c01S##　瞪矚而不瞬，　　如並青蓮花。
T04n0192_p0005c02S##　臣民悉扈從，　　如星隨宿王，
T04n0192_p0005c03S##　異口同聲歎，　　稱慶世希有。
